"PGN","Parameter Group Label","PGN Length","Transmission Rate","Acronym","pos","SPN length","SPN","Name","Description","Data Range","Operational Range","Resolution","Ofset","Units","Date SPN was added to PGN","Status of SPN addition to PGN","Date SPN was added_or_modified","Status of SPN","SPN Doc","PGN Doc"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","1.1",2,681,"Transmission Gear Shift Inhibit Request","Command signal to inhibit gear shifts.

00 Gear shifts are allowed  (disable function)
01 Gear shifts are inhibited  (enable function)
10 Reserved
11 Take no action  (leave function as is)","0 to 3",,"4 states/2 bit",0,"bit",1 de out de 98,"Published",25/12/2003,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","1.3",2,682,"Transmission Torque Converter Lockup Disable Request","Command signal to prevent torque converter lockup, which may cause problems in certain circumstances for ASR.

00 Allow torque converter lockup
01 Disable torque converter lockup
10 Reserved
11 Take no action","0 to 3",,"4 states/2 bit",0,"bit",1 de out de 98,"Published",,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","1.5",2,683,"Disengage Driveline Request","Command signal used to simply disengage the driveline, e.g., to prevent engine drag torque from causing high wheel slip on slippery surfaces.

00 Allow driveline engagement
01 Disengage driveline
10 Reserved
11 Take no action","0 to 3",,"4 states/2 bit",0,"bit",1 de out de 98,"Published",,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","1.7",2,4242,"Transmission Reverse Gear Shift Inhibit Request","Allows devices external to the normal transmission shift selector system to request the transmission to inhibit shifts into to any Reverse gear and force the transmission into Neutral if it is currently in Reverse or attempting to shift to Reverse.  These transmission responses occur regardless of shift selector (Forward, Neutral or Reverse) position at the time the request is received.

This request would typically come from a component wishing to override the vehicle operator’s ability to shift or keep the transmission in Reverse.  For example, the control system of a rear-loading refuse packer may wish to prevent shifts to reverse when it detects the presence of someone behind the vehicle.

Reverse gear shift inhibits include all ‘Neutral-to-Reverse’ shifts and ‘Forward-to-Reverse’ shifts; the ability of the transmission to complete ‘Neutral-to-Forward’ or ‘Forward-to-Forward’ gear shifts is not impacted.

If the transmission is in Reverse or attempting to shift to Reverse and receives an active Reverse gear shift inhibit request (0b01), the transmission will shift to Neutral.  When the request subsequently goes inactive (0b00), the transmission will remain in Neutral until it receives a selector input from the vehicle operator requesting it to shift into a Non-Neutral gear.  The transmission should not automatically return to the previous gear when this signal goes inactive.

Transmission response to this request can be monitored via SPN 4261 – Transmission Reverse Gear Shift Inhibit Status, SPN 523 Transmission Current Gear, and SPN 524 Transmission Selected Gear.

00 = Allow shifts into Reverse gear
01 = Inhibit shifts into Reverse gear, and shift transmission to Neutral if already in Reverse or attempting to shift to Reverse
10 = Reserved 
11 = Take no action","0 to 3",,"4 states/2 bit",0,"bit",21 de fev de 07,"Approved",21/02/2007,"Approved","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","2",8,684,"Requested Percent Clutch Slip","Parameter which represents the percent clutch slip requested by a device.","0 to 100 %",,"0.4 %/bit",0,"%",1 de out de 98,"Published",,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","3",8,525,"Transmission Requested Gear","Gear requested by the operator, ABS, or engine.

Negative values are reverse gears, positive values are forward gears, zero is neutral, parameter specific indicators are listed below.

Parameter specific values for this parameter are as follows:
0xFD (253 dec) = Hold current gear
0xFC (252 dec) = Forward Drive Position
0xFB (251 dec) = ‘Park’ position
0xFA (250 dec) = Forward ‘Low’ position
0xF9 (249 dec) = Upshift 1 gear from current position
0xF8 (248 dec) = Upshift 2 gears from current position
0xF7 (247 dec) = Downshift 1 gear from current position
0xF6 (246 dec) = Downshift 2 gears from current position
0xF5 (245 dec) = D-1: 1st forward selector position referenced from ‘Drive’
0xF4 (244 dec) = D-2: 2nd forward selector position referenced from ‘Drive’
0xF3 (243 dec) = D-3: 3rd forward selector position referenced from ‘Drive’
0xF2 (242 dec) = D-4: 4th forward selector position referenced from ‘Drive’
0xF1 (241 dec) = D-5: 5th forward selector position referenced from ‘Drive’
0xF0 (240 dec) = D-6: 6th forward selector position referenced from ‘Drive’
0xEF (239 dec) = D-7: 7th forward selector position referenced from ‘Drive’
0xEE (238 dec) = Between two shift selector positions (if detail is unknown)
0xED (237 dec) = Between two reverse shift selector positions
0xEC (236 dec) = Between two forward shift selector positions
0xEB (235 dec) = Between D-7 and D-6 shift selector positions
0xEA (234 dec) = Between D-6 and D-5 shift selector positions
0xE9 (233 dec) = Between D-5 and D-4 shift selector positions
0xE8 (232 dec) = Between D-4 and D-3 shift selector positions
0xE7 (231 dec) = Between D-3 and D-2 shift selector positions
0xE6 (230 dec) = Between D-2 and D-1 shift selector positions
0xE5 (229 dec) = Between D-1 and ‘Drive’ shift selector positions
0xE4 (228 dec) = Between ‘Drive’ and ‘Neutral’ shift selector positions
0xE3 (227 dec) = Between ‘Neutral’ and ‘Reverse’ shift selector positions
0xE2 (226 dec) = Between ‘Reverse’ and ‘Park’ shift selector positions
0xE1 (225 dec) = Press of momentary button to reselect current position
0xE0 (224 dec) = Position unknown and/or no buttons pressed
0xDF (223 dec) = Reverse Selector Position

0xDE - 0xBE  (222 dec - 190 dec) = Reserved
0x3C - 0x00   (60 dec  - 0 dec)  = Reserved

Forward selector position from drive (0xF5 to 0xEF) – Indicates shift selector position in reference to the ‘Drive’ position on the selector.  It is possible that the shift selector software may not know the number of forward ranges.  The shift selector may identify the position selected by the operator while the transmission ECU determines what range or gear that represents.  If there is a digital display, the transmission ECU would communicate what is to be displayed via another message such as ETC#2 or ETC#7.

For example:  Consider a vehicle with a 5-speed automatic transmission with the shift lever on the column. Suppose that shift selector has a limited number of positions, such that having positions for D-4-3-2-1 is not an option. For this example, assume there are only have enough lever positions for D-3-2-1. Pulling the lever into ""D"" will put the transmission in 5th (highest gear).  It is desired that pulling the lever to the physical “3” position will limit the transmission to a maximum range of 3rd gear.

When the selector is pulled down into ""3"", the shifter selector itself has no way of correlating this physical lever position to the desired gear; it would have to be calibrated with software to tell it this information. If not calibrated, the shift selector cannot directly command the transmission to go to 3rd gear; it only knows it's one notch below drive.

However, if ""D-1"" (lever position, as opposed to desired gear) is broadcast by the selector, the transmission ECU can receive this and then make the determination of what range is desired. The benefit is that no specific calibration of the shift selector is required. 

Between selector positions (0xEE to 0xE2) – Indicates the shift selector is not in an appropriate position.  If a lever-type shift selector with a mechanical display is stuck between detents, it may appear to the operator that it is in the desired position when in fact it is not. The shift selector may be capable of reporting only that it is between positions or that it is between forward or reverse positions. If known, the transmission ECU may respond differently depending on which positions are involved.

Reselect current position (0xE1) - If the TC1 message continues to send the position last selected, then a capability to reselect the same position is required.  For example:  If a ‘Neutral to Drive’ shift is selected and that shift is inhibited (say for high engine speed), it may be necessary for the operator to reselect ‘Drive’ after the inhibit conditions pass in order for the transmission ECU to honor the request.

Position unknown and/or no buttons pressed (0xE0) - A push-button style shift selector with momentary contact buttons may send this indicator after initialization before any buttons are pressed, or before the transmission ECU determines and communicates the initial selection.  This indicator could also be sent between button presses as an alternative to sending the last button press.","-125 to 125","-64 to 64","1 gear value/bit",-125,"gear value",9 de nov de 00,"Published",20/11/2003,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","4.1",2,685,"Disengage Differential Lock Request - Front Axle 1","Command signal used to disengage the various differential locks, e.g., to allow an undistributed individual wheel control by ABS.  The differential locks are located as defined in Figure SPN564_A.

00 Engage differential lock
01 Disengage differential lock
10 Reserved
11 Take no action","0 to 3",,"4 states/2 bit",0,"bit",1 de out de 98,"Published",,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","4.3",2,686,"Disengage Differential Lock Request - Front Axle 2","Command signal used to disengage the various differential locks, e.g., to allow an undistributed individual wheel control by ABS.  The differential locks are located as defined in Figure SPN564_A.

00 Engage differential lock
01 Disengage differential lock
10 Reserved
11 Take no action","0 to 3",,"4 states/2 bit",0,"bit",1 de out de 98,"Published",,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","4.5",2,687,"Disengage Differential Lock Request - Rear Axle 1","Command signal used to disengage the various differential locks, e.g., to allow an undistributed individual wheel control by ABS.  The differential locks are located as defined in Figure SPN564_A.

00 Engage differential lock
01 Disengage differential lock
10 Reserved
11 Take no action","0 to 3",,"4 states/2 bit",0,"bit",1 de out de 98,"Published",,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","4.7",2,688,"Disengage Differential Lock Request - Rear Axle 2","Command signal used to disengage the various differential locks, e.g., to allow an undistributed individual wheel control by ABS.  The differential locks are located as defined in Figure SPN564_A.

00 Engage differential lock
01 Disengage differential lock
10 Reserved
11 Take no action","0 to 3",,"4 states/2 bit",0,"bit",1 de out de 98,"Published",,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","5.1",2,689,"Disengage Differential Lock Request - Central","Command signal used to disengage the various differential locks, e.g., to allow an undistributed individual wheel control by ABS.  The differential locks are located as defined in Figure SPN564_A.

00 Engage differential lock
01 Disengage differential lock
10 Reserved
11 Take no action","0 to 3",,"4 states/2 bit",0,"bit",1 de out de 98,"Published",,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","5.3",2,690,"Disengage Differential Lock Request - Central Front","Command signal used to disengage the various differential locks, e.g., to allow an undistributed individual wheel control by ABS.  The differential locks are located as defined in Figure SPN564_A.

00 Engage differential lock
01 Disengage differential lock
10 Reserved
11 Take no action","0 to 3",,"4 states/2 bit",0,"bit",1 de out de 98,"Published",,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","5.5",2,691,"Disengage Differential Lock Request - Central Rear","Command signal used to disengage the various differential locks, e.g., to allow an undistributed individual wheel control by ABS.  The differential locks are located as defined in Figure SPN564_A.

00 Engage differential lock
01 Disengage differential lock
10 Reserved
11 Take no action","0 to 3",,"4 states/2 bit",0,"bit",1 de out de 98,"Published",,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","6.1",2,1852,"Transmission Mode 1","Indicates whether transmission mode 1 is enabled.  Modes are manufacturer specific and are not necessarily mutually exclusive.  See also 2536.

00 Disable
01 Enable
10 Reserved
11 Take no action","0 to 3",,"4 states/2 bit",0,"bit",10 de ago de 00,"Published",31/12/2001,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","6.3",2,1853,"Transmission Mode 2","Indicates whether transmission mode 2 is enabled.  Modes are manufacturer specific and are not necessarily mutually exclusive.  See also SPN 2537.

00 Disable
01 Enable
10 Reserved
11 Take no action","0 to 3",,"4 states/2 bit",0,"bit",10 de ago de 00,"Published",31/12/2001,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","6.5",2,1854,"Transmission Mode 3","Indicates whether transmission mode 3 is enabled.  Modes are manufacturer specific and are not necessarily mutually exclusive.  See also SPN 2538.

00 Disable
01 Enable
10 Reserved
11 Take no action","0 to 3",,"4 states/2 bit",0,"bit",10 de ago de 00,"Published",31/12/2001,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","6.7",2,1855,"Transmission Mode 4","Indicates whether transmission mode 4 is enabled.  Modes are manufacturer specific and are not necessarily mutually exclusive.  See also SPN 2539.

00 Disable
01 Enable
10 Reserved
11 Take no action","0 to 3",,"4 states/2 bit",0,"bit",10 de ago de 00,"Published",31/12/2001,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","7.3",4,4255,"Transmission Requested Launch Gear","Initial gear for the transmission to start out in when the vehicle is launched from a standing stop, as specified by the vehicle operator or vehicle system.  Automatic transmissions typically default to starting out in 1st gear.  However, in applications such as those with very low gearing, it is desirable to launch the vehicle in a range higher than 1st.   For example, when the vehicle has little or no payload, the operator may wish to launch from 2nd or 3rd gear to avoid stacked, unnecessary shifts in the lower ranges.

0000 = No specific launch gear requested; use default launch gear
0001 = Launch the vehicle in 1st gear
0010 = Launch the vehicle in 2nd gear
0011 = Launch the vehicle in 3rd gear
0100 = Launch the vehicle in 4th gear
0101 = Launch the vehicle in 5th gear
0110 = Launch the vehicle in 6th gear
0111 = Launch the vehicle in 7th gear
1000 = Launch the vehicle in 8th gear
1001 = Launch the vehicle in Reverse 1
1010 = Launch the vehicle in Reverse 2
1011 = Launch the vehicle in Reverse 3
1100 = Launch the vehicle in Reverse 4 
1101 = Reserved
1110 = Error
1111 = Not Available","0 to 15",,"16 states/4 bit",0,"bit",22 de fev de 07,"Approved",22/02/2007,"Approved","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","7.7",2,2985,"Transmission Shift Selector Display Mode Switch","Status of the operator’s switch used to ‘toggle’ through multiple display modes of a shift selector display.  

When a shift selector display is capable of displaying more than just range information, this switch is toggled by the operator to move through the different display modes.   If the selector has only two display modes, this switch may behave as a typical SPST switch.  If the selector has more than two display modes, the switch may be momentary, where each activation indicates that the selector has scrolled through to the next subsequent display mode. 

00 Off
01 On
10 Error
11 Not available","0 to 3",,"4 states/2 bit",0,"bit",20 de fev de 03,"Published",20/02/2003,"Published","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","8.1",2,4246,"Transmission Mode 5","Indicates whether transmission mode 5 is enabled. Modes are manufacturer specific and are not necessarily mutually exclusive. See also SPN 4250.

00  Disable
01  Enable
10  Reserved
11  Take no action","0 to 3",,"4 states/2 bit",0,"bit",21 de fev de 07,"Approved",21/02/2007,"Approved","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","8.3",2,4247,"Transmission Mode 6","Indicates whether transmission mode 6 is enabled. Modes are manufacturer specific and are not necessarily mutually exclusive. See also SPN 4251.

00  Disable
01  Enable
10  Reserved
11  Take no action","0 to 3",,"4 states/2 bit",0,"bit",21 de fev de 07,"Approved",21/02/2007,"Approved","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","8.5",2,4248,"Transmission Mode 7","Indicates whether transmission mode 7 is enabled. Modes are manufacturer specific and are not necessarily mutually exclusive. See also SPN 4252.

00  Disable
01  Enable
10  Reserved
11  Take no action","0 to 3",,"4 states/2 bit",0,"bit",21 de fev de 07,"Approved",21/02/2007,"Approved","J1939-71","J1939-71"
256,"Transmission Control 1","8","when active; 50 ms to transmission and axles","TC1","8.7",2,4249,"Transmission Mode 8","Indicates whether transmission mode 8 is enabled. Modes are manufacturer specific and are not necessarily mutually exclusive. See also SPN 4253.

00  Disable
01  Enable
10  Reserved
11  Take no action","0 to 3",,"4 states/2 bit",0,"bit",21 de fev de 07,"Approved",21/02/2007,"Approved","J1939-71","J1939-71"
1024,"External Brake Request","8","when active: 20 ms; else 200 ms","XBR","1-2",16,2920,"External Acceleration Demand","Parameter provided to the brake system from external sources. This is the acceleration which the brake system is expected to realize. It is specified as an absolute acceleration in reference to the road.  Positive values lead to increasing vehicle speed, negative values lead to decreasing vehicle speed.  Note: Normally only the negative data range is used, but e.g. in case of downhill driving also positive values are possible.","-15.687 to +15.687 m/s²","-10.0 to +10.0 m/s²","1/2048 m/s² per bit","-15,687","m/s²",8 de ago de 02,"Published",08/08/2002,"Published","J1939-71","J1939-71"
1024,"External Brake Request","8","when active: 20 ms; else 200 ms","XBR","3.1",2,2914,"XBR EBI Mode","The XBR EBI (Endurance Brake Integration) Mode is used as an input for the brake system to prescribe the use of endurance brakes like retarders or engine brakes.

00 - No Endurance Brake Integration allowed
The demanded acceleration must be realized by the brake system by using only the foundation brakes. During an active XBR request, the brake system must not actively demand brake torque from other braking devices like retarders or engine brakes.
01 - Only Endurance Brakes allowed
The demanded acceleration must be realized by the brake system by demanding brake torque from other brake devices like retarders or engine brakes. The foundation brake itself must not be used (e.g. to reduce brake lining wear).
10 - Endurance Brake Integration allowed
The demanded acceleration may be realized by the brake system by using the foundation brakes and/or by demanding brake torque from other brake devices like retarders or engine brakes.
11 - Not defined","0 to 3",,"4 states/2 bit",0,"bit",8 de ago de 02,"Published",08/08/2002,"Published","J1939-71","J1939-71"
